date,precip_mm,source
2017-01-01,0.01,nasa_power
2017-01-02,0.02,nasa_power
2017-01-03,0.01,nasa_power
2017-01-04,0.01,nasa_power
2017-01-05,0.04,nasa_power
2017-01-06,1.46,nasa_power
2017-01-07,8.76,nasa_power
2017-01-08,11.93,nasa_power
2017-01-09,5.69,nasa_power
2017-01-10,2.34,nasa_power
2017-01-11,0.54,nasa_power
2017-01-12,1.68,nasa_power
2017-01-13,1.88,nasa_power
2017-01-14,0.81,nasa_power
2017-01-15,0.4,nasa_power
2017-01-16,0.02,nasa_power
2017-01-17,0.07,nasa_power
2017-01-18,0.25,nasa_power
2017-01-19,0.31,nasa_power
2017-01-20,0.39,nasa_power
2017-01-21,6.47,nasa_power
2017-01-22,7.0,nasa_power
2017-01-23,8.45,nasa_power
2017-01-24,0.75,nasa_power
2017-01-25,0.22,nasa_power
2017-01-26,0.19,nasa_power
2017-01-27,0.36,nasa_power
2017-01-28,0.39,nasa_power
2017-01-29,0.53,nasa_power
2017-01-30,1.12,nasa_power
2017-01-31,1.91,nasa_power
2017-02-01,7.47,nasa_power
2017-02-02,0.94,nasa_power
2017-02-03,3.22,nasa_power
2017-02-04,1.71,nasa_power
2017-02-05,0.31,nasa_power
2017-02-06,0.29,nasa_power
2017-02-07,0.41,nasa_power
2017-02-08,0.39,nasa_power
2017-02-09,0.38,nasa_power
2017-02-10,3.18,nasa_power
2017-02-11,3.5,nasa_power
2017-02-12,1.54,nasa_power
2017-02-13,3.66,nasa_power
2017-02-14,0.56,nasa_power
2017-02-15,0.1,nasa_power
2017-02-16,0.29,nasa_power
2017-02-17,0.26,nasa_power
2017-02-18,0.28,nasa_power
2017-02-19,0.12,nasa_power
2017-02-20,1.75,nasa_power
2017-02-21,1.08,nasa_power
2017-02-22,3.5,nasa_power
2017-02-23,4.19,nasa_power
2017-02-24,4.55,nasa_power
2017-02-25,6.0,nasa_power
2017-02-26,10.56,nasa_power
2017-02-27,1.11,nasa_power
2017-02-28,2.0,nasa_power
2017-03-01,2.66,nasa_power
2017-03-02,3.85,nasa_power
2017-03-03,6.21,nasa_power
2017-03-04,5.88,nasa_power
2017-03-05,6.74,nasa_power
2017-03-06,10.23,nasa_power
2017-03-07,7.24,nasa_power
2017-03-08,2.73,nasa_power
2017-03-09,4.88,nasa_power
2017-03-10,4.98,nasa_power
2017-03-11,5.13,nasa_power
2017-03-12,2.36,nasa_power
2017-03-13,0.99,nasa_power
2017-03-14,1.82,nasa_power
2017-03-15,0.42,nasa_power
2017-03-16,0.95,nasa_power
2017-03-17,1.5,nasa_power
2017-03-18,2.04,nasa_power
2017-03-19,1.55,nasa_power
2017-03-20,4.46,nasa_power
2017-03-21,18.54,nasa_power
2017-03-22,2.42,nasa_power
2017-03-23,6.36,nasa_power
2017-03-24,5.0,nasa_power
2017-03-25,2.25,nasa_power
2017-03-26,2.19,nasa_power
2017-03-27,5.75,nasa_power
2017-03-28,4.75,nasa_power
2017-03-29,6.93,nasa_power
2017-03-30,12.58,nasa_power
2017-03-31,0.94,nasa_power
2017-04-01,4.31,nasa_power
2017-04-02,3.3,nasa_power
2017-04-03,6.37,nasa_power
2017-04-04,1.06,nasa_power
2017-04-05,4.7,nasa_power
2017-04-06,9.39,nasa_power
2017-04-07,9.55,nasa_power
2017-04-08,10.74,nasa_power
2017-04-09,11.88,nasa_power
2017-04-10,2.79,nasa_power
2017-04-11,3.68,nasa_power
2017-04-12,7.95,nasa_power
2017-04-13,8.35,nasa_power
2017-04-14,4.49,nasa_power
2017-04-15,5.82,nasa_power
2017-04-16,11.88,nasa_power
2017-04-17,3.01,nasa_power
2017-04-18,7.19,nasa_power
2017-04-19,3.45,nasa_power
2017-04-20,7.54,nasa_power
2017-04-21,6.93,nasa_power
2017-04-22,2.01,nasa_power
2017-04-23,1.43,nasa_power
2017-04-24,6.8,nasa_power
2017-04-25,6.74,nasa_power
2017-04-26,1.58,nasa_power
2017-04-27,0.65,nasa_power
2017-04-28,1.17,nasa_power
2017-04-29,2.46,nasa_power
2017-04-30,0.53,nasa_power
2017-05-01,15.89,nasa_power
2017-05-02,6.56,nasa_power
2017-05-03,8.0,nasa_power
2017-05-04,19.53,nasa_power
2017-05-05,4.6,nasa_power
2017-05-06,0.99,nasa_power
2017-05-07,3.11,nasa_power
2017-05-08,2.91,nasa_power
2017-05-09,1.96,nasa_power
2017-05-10,3.31,nasa_power
2017-05-11,13.99,nasa_power
2017-05-12,9.87,nasa_power
2017-05-13,7.38,nasa_power
2017-05-14,12.69,nasa_power
2017-05-15,13.41,nasa_power
2017-05-16,17.51,nasa_power
2017-05-17,19.54,nasa_power
2017-05-18,9.18,nasa_power
2017-05-19,7.56,nasa_power
2017-05-20,12.63,nasa_power
2017-05-21,7.7,nasa_power
2017-05-22,9.86,nasa_power
2017-05-23,10.14,nasa_power
2017-05-24,16.0,nasa_power
2017-05-25,10.76,nasa_power
2017-05-26,4.58,nasa_power
2017-05-27,1.45,nasa_power
2017-05-28,2.42,nasa_power
2017-05-29,2.74,nasa_power
2017-05-30,5.49,nasa_power
2017-05-31,7.85,nasa_power
2017-06-01,1.68,nasa_power
2017-06-02,7.39,nasa_power
2017-06-03,42.8,nasa_power
2017-06-04,19.0,nasa_power
2017-06-05,7.37,nasa_power
2017-06-06,4.96,nasa_power
2017-06-07,3.54,nasa_power
2017-06-08,4.69,nasa_power
2017-06-09,5.44,nasa_power
2017-06-10,13.76,nasa_power
