date,precip_mm,source
2017-01-01,0.03,nasa_power
2017-01-02,0.09,nasa_power
2017-01-03,0.03,nasa_power
2017-01-04,0.07,nasa_power
2017-01-05,0.2,nasa_power
2017-01-06,1.25,nasa_power
2017-01-07,8.59,nasa_power
2017-01-08,9.11,nasa_power
2017-01-09,3.99,nasa_power
2017-01-10,2.48,nasa_power
2017-01-11,1.1,nasa_power
2017-01-12,2.65,nasa_power
2017-01-13,2.62,nasa_power
2017-01-14,2.82,nasa_power
2017-01-15,1.85,nasa_power
2017-01-16,0.11,nasa_power
2017-01-17,0.31,nasa_power
2017-01-18,0.86,nasa_power
2017-01-19,1.34,nasa_power
2017-01-20,1.5,nasa_power
2017-01-21,7.22,nasa_power
2017-01-22,7.48,nasa_power
2017-01-23,9.9,nasa_power
2017-01-24,0.82,nasa_power
2017-01-25,0.28,nasa_power
2017-01-26,0.28,nasa_power
2017-01-27,0.58,nasa_power
2017-01-28,0.5,nasa_power
2017-01-29,0.65,nasa_power
2017-01-30,1.37,nasa_power
2017-01-31,2.87,nasa_power
2017-02-01,8.17,nasa_power
2017-02-02,0.73,nasa_power
2017-02-03,3.82,nasa_power
2017-02-04,1.78,nasa_power
2017-02-05,0.48,nasa_power
2017-02-06,0.45,nasa_power
2017-02-07,0.82,nasa_power
2017-02-08,0.68,nasa_power
2017-02-09,0.57,nasa_power
2017-02-10,3.7,nasa_power
2017-02-11,3.82,nasa_power
2017-02-12,1.94,nasa_power
2017-02-13,3.7,nasa_power
2017-02-14,0.76,nasa_power
2017-02-15,0.37,nasa_power
2017-02-16,1.06,nasa_power
2017-02-17,0.83,nasa_power
2017-02-18,0.98,nasa_power
2017-02-19,0.48,nasa_power
2017-02-20,1.65,nasa_power
2017-02-21,0.78,nasa_power
2017-02-22,2.43,nasa_power
2017-02-23,2.75,nasa_power
2017-02-24,3.1,nasa_power
2017-02-25,5.43,nasa_power
2017-02-26,7.97,nasa_power
2017-02-27,0.86,nasa_power
2017-02-28,2.15,nasa_power
2017-03-01,2.29,nasa_power
2017-03-02,3.14,nasa_power
2017-03-03,4.6,nasa_power
2017-03-04,4.36,nasa_power
2017-03-05,4.59,nasa_power
2017-03-06,7.61,nasa_power
2017-03-07,8.43,nasa_power
2017-03-08,3.06,nasa_power
2017-03-09,4.54,nasa_power
2017-03-10,4.07,nasa_power
2017-03-11,4.75,nasa_power
2017-03-12,3.12,nasa_power
2017-03-13,1.25,nasa_power
2017-03-14,2.76,nasa_power
2017-03-15,0.71,nasa_power
2017-03-16,1.65,nasa_power
2017-03-17,2.72,nasa_power
2017-03-18,3.25,nasa_power
2017-03-19,2.6,nasa_power
2017-03-20,6.81,nasa_power
2017-03-21,19.7,nasa_power
2017-03-22,2.16,nasa_power
2017-03-23,5.01,nasa_power
2017-03-24,3.74,nasa_power
2017-03-25,2.06,nasa_power
2017-03-26,2.33,nasa_power
2017-03-27,4.74,nasa_power
2017-03-28,4.1,nasa_power
2017-03-29,6.65,nasa_power
2017-03-30,12.2,nasa_power
2017-03-31,1.02,nasa_power
2017-04-01,4.57,nasa_power
2017-04-02,3.22,nasa_power
2017-04-03,6.53,nasa_power
2017-04-04,0.89,nasa_power
2017-04-05,4.11,nasa_power
2017-04-06,7.87,nasa_power
2017-04-07,8.62,nasa_power
2017-04-08,10.03,nasa_power
2017-04-09,9.82,nasa_power
2017-04-10,2.46,nasa_power
2017-04-11,4.5,nasa_power
2017-04-12,8.96,nasa_power
2017-04-13,11.66,nasa_power
2017-04-14,5.68,nasa_power
2017-04-15,6.9,nasa_power
2017-04-16,7.71,nasa_power
2017-04-17,2.68,nasa_power
2017-04-18,6.8,nasa_power
2017-04-19,2.52,nasa_power
2017-04-20,5.97,nasa_power
2017-04-21,9.35,nasa_power
2017-04-22,4.1,nasa_power
2017-04-23,2.35,nasa_power
2017-04-24,9.9,nasa_power
2017-04-25,8.86,nasa_power
2017-04-26,1.8,nasa_power
2017-04-27,0.75,nasa_power
2017-04-28,1.42,nasa_power
2017-04-29,3.17,nasa_power
2017-04-30,0.53,nasa_power
2017-05-01,12.59,nasa_power
2017-05-02,5.63,nasa_power
2017-05-03,8.77,nasa_power
2017-05-04,17.33,nasa_power
2017-05-05,5.27,nasa_power
2017-05-06,0.95,nasa_power
2017-05-07,3.3,nasa_power
2017-05-08,2.83,nasa_power
2017-05-09,2.65,nasa_power
2017-05-10,3.74,nasa_power
2017-05-11,11.69,nasa_power
2017-05-12,8.34,nasa_power
2017-05-13,5.19,nasa_power
2017-05-14,9.84,nasa_power
2017-05-15,12.01,nasa_power
2017-05-16,17.1,nasa_power
2017-05-17,14.77,nasa_power
2017-05-18,5.15,nasa_power
2017-05-19,4.7,nasa_power
2017-05-20,9.25,nasa_power
2017-05-21,7.77,nasa_power
2017-05-22,9.15,nasa_power
2017-05-23,8.05,nasa_power
2017-05-24,12.3,nasa_power
2017-05-25,9.14,nasa_power
2017-05-26,5.56,nasa_power
2017-05-27,2.15,nasa_power
2017-05-28,2.48,nasa_power
2017-05-29,2.65,nasa_power
2017-05-30,5.76,nasa_power
2017-05-31,8.38,nasa_power
2017-06-01,2.84,nasa_power
2017-06-02,7.7,nasa_power
2017-06-03,35.93,nasa_power
2017-06-04,10.1,nasa_power
2017-06-05,7.93,nasa_power
2017-06-06,5.03,nasa_power
2017-06-07,4.95,nasa_power
2017-06-08,6.48,nasa_power
2017-06-09,6.73,nasa_power
2017-06-10,11.21,nasa_power
2017-06-11,17.98,nasa_power
2017-06-12,40.56,nasa_power
2017-06-13,23.17,nasa_power
2017-06-14,7.56,nasa_power
2017-06-15,6.18,nasa_power
2017-06-16,10.72,nasa_power
2017-06-17,7.76,nasa_power
2017-06-18,9.41,nasa_power
2017-06-19,29.4,nasa_power
2017-06-20,22.35,nasa_power
2017-06-21,8.53,nasa_power
2017-06-22,2.54,nasa_power
2017-06-23,9.76,nasa_power
2017-06-24,19.24,nasa_power
2017-06-25,3.25,nasa_power
2017-06-26,5.21,nasa_power
2017-06-27,23.62,nasa_power
2017-06-28,10.05,nasa_power
2017-06-29,12.49,nasa_power
2017-06-30,6.26,nasa_power
2017-07-01,11.79,nasa_power
2017-07-02,25.49,nasa_power
2017-07-03,20.16,nasa_power
2017-07-04,7.22,nasa_power
2017-07-05,13.25,nasa_power
2017-07-06,17.77,nasa_power
2017-07-07,3.03,nasa_power
2017-07-08,5.65,nasa_power
2017-07-09,6.3,nasa_power
2017-07-10,0.12,nasa_power
2017-07-11,0.04,nasa_power
2017-07-12,0.02,nasa_power
2017-07-13,0.05,nasa_power
2017-07-14,0.19,nasa_power
2017-07-15,1.6,nasa_power
2017-07-16,1.48,nasa_power
2017-07-17,1.39,nasa_power
2017-07-18,2.11,nasa_power
2017-07-19,2.73,nasa_power
2017-07-20,2.08,nasa_power
2017-07-21,2.44,nasa_power
2017-07-22,6.16,nasa_power
2017-07-23,4.43,nasa_power
2017-07-24,2.56,nasa_power
2017-07-25,1.92,nasa_power
2017-07-26,2.44,nasa_power
2017-07-27,0.98,nasa_power
2017-07-28,0.48,nasa_power
2017-07-29,0.35,nasa_power
2017-07-30,0.46,nasa_power
2017-07-31,0.88,nasa_power
2017-08-01,1.48,nasa_power
2017-08-02,4.14,nasa_power
2017-08-03,1.89,nasa_power
2017-08-04,1.36,nasa_power
2017-08-05,2.46,nasa_power
2017-08-06,1.62,nasa_power
2017-08-07,0.44,nasa_power
2017-08-08,1.56,nasa_power
2017-08-09,1.9,nasa_power
2017-08-10,1.19,nasa_power
2017-08-11,2.2,nasa_power
2017-08-12,3.57,nasa_power
2017-08-13,10.16,nasa_power
2017-08-14,2.63,nasa_power
2017-08-15,1.35,nasa_power
2017-08-16,0.23,nasa_power
2017-08-17,0.57,nasa_power
2017-08-18,2.26,nasa_power
2017-08-19,1.73,nasa_power
2017-08-20,0.49,nasa_power
2017-08-21,0.9,nasa_power
2017-08-22,0.72,nasa_power
2017-08-23,1.23,nasa_power
2017-08-24,0.7,nasa_power
2017-08-25,7.73,nasa_power
2017-08-26,13.92,nasa_power
2017-08-27,2.52,nasa_power
2017-08-28,0.62,nasa_power
2017-08-29,1.47,nasa_power
2017-08-30,1.73,nasa_power
2017-08-31,1.13,nasa_power
2017-09-01,0.63,nasa_power
2017-09-02,1.12,nasa_power
2017-09-03,2.0,nasa_power
2017-09-04,1.13,nasa_power
2017-09-05,1.44,nasa_power
2017-09-06,4.74,nasa_power
2017-09-07,7.08,nasa_power
2017-09-08,5.0,nasa_power
2017-09-09,2.87,nasa_power
2017-09-10,4.14,nasa_power
2017-09-11,5.88,nasa_power
2017-09-12,10.18,nasa_power
2017-09-13,0.54,nasa_power
2017-09-14,1.33,nasa_power
2017-09-15,2.79,nasa_power
2017-09-16,1.95,nasa_power
2017-09-17,1.0,nasa_power
2017-09-18,1.41,nasa_power
2017-09-19,2.04,nasa_power
2017-09-20,2.9,nasa_power
2017-09-21,2.02,nasa_power
2017-09-22,2.66,nasa_power
2017-09-23,3.41,nasa_power
2017-09-24,7.15,nasa_power
2017-09-25,2.54,nasa_power
2017-09-26,8.03,nasa_power
2017-09-27,11.23,nasa_power
2017-09-28,8.93,nasa_power
2017-09-29,17.64,nasa_power
2017-09-30,11.92,nasa_power
2017-10-01,1.99,nasa_power
2017-10-02,0.75,nasa_power
2017-10-03,3.91,nasa_power
2017-10-04,8.24,nasa_power
2017-10-05,3.47,nasa_power
2017-10-06,8.82,nasa_power
2017-10-07,10.23,nasa_power
2017-10-08,15.99,nasa_power
2017-10-09,4.27,nasa_power
2017-10-10,5.76,nasa_power
2017-10-11,10.57,nasa_power
2017-10-12,5.72,nasa_power
2017-10-13,5.68,nasa_power
2017-10-14,7.36,nasa_power
2017-10-15,10.51,nasa_power
2017-10-16,5.11,nasa_power
2017-10-17,4.48,nasa_power
2017-10-18,2.25,nasa_power
2017-10-19,3.87,nasa_power
2017-10-20,3.16,nasa_power
2017-10-21,2.45,nasa_power
2017-10-22,2.92,nasa_power
2017-10-23,4.04,nasa_power
2017-10-24,2.45,nasa_power
