date,precip_mm,source
2017-07-07,6.51,nasa_power
2017-07-08,4.77,nasa_power
2017-07-09,5.23,nasa_power
2017-07-10,0.03,nasa_power
2017-07-11,0.01,nasa_power
2017-07-12,0.01,nasa_power
2017-07-13,0.06,nasa_power
2017-07-14,0.15,nasa_power
2017-07-15,2.36,nasa_power
2017-07-16,2.0,nasa_power
2017-07-17,1.65,nasa_power
2017-07-18,2.09,nasa_power
2017-07-19,3.59,nasa_power
2017-07-20,2.05,nasa_power
2017-07-21,4.27,nasa_power
2017-07-22,6.82,nasa_power
2017-07-23,5.69,nasa_power
2017-07-24,2.42,nasa_power
2017-07-25,0.41,nasa_power
2017-07-26,0.51,nasa_power
2017-07-27,0.4,nasa_power
2017-07-28,0.32,nasa_power
2017-07-29,0.35,nasa_power
2017-07-30,0.89,nasa_power
2017-07-31,0.91,nasa_power
2017-08-01,1.44,nasa_power
2017-08-02,1.81,nasa_power
2017-08-03,1.41,nasa_power
2017-08-04,0.78,nasa_power
2017-08-05,1.14,nasa_power
2017-08-06,0.54,nasa_power
2017-08-07,0.1,nasa_power
2017-08-08,0.58,nasa_power
2017-08-09,3.12,nasa_power
2017-08-10,2.38,nasa_power
2017-08-11,5.35,nasa_power
2017-08-12,6.15,nasa_power
2017-08-13,7.79,nasa_power
2017-08-14,3.37,nasa_power
2017-08-15,2.36,nasa_power
2017-08-16,0.08,nasa_power
2017-08-17,0.17,nasa_power
2017-08-18,0.82,nasa_power
2017-08-19,0.19,nasa_power
2017-08-20,0.11,nasa_power
2017-08-21,0.6,nasa_power
2017-08-22,0.73,nasa_power
2017-08-23,0.12,nasa_power
2017-08-24,1.84,nasa_power
2017-08-25,6.89,nasa_power
2017-08-26,6.85,nasa_power
2017-08-27,5.07,nasa_power
2017-08-28,2.03,nasa_power
2017-08-29,0.81,nasa_power
2017-08-30,0.83,nasa_power
2017-08-31,0.67,nasa_power
2017-09-01,0.92,nasa_power
2017-09-02,1.13,nasa_power
2017-09-03,2.57,nasa_power
2017-09-04,2.31,nasa_power
2017-09-05,1.43,nasa_power
2017-09-06,3.08,nasa_power
2017-09-07,12.63,nasa_power
2017-09-08,7.94,nasa_power
2017-09-09,4.43,nasa_power
2017-09-10,6.36,nasa_power
2017-09-11,7.1,nasa_power
2017-09-12,12.24,nasa_power
2017-09-13,0.66,nasa_power
2017-09-14,0.97,nasa_power
2017-09-15,1.96,nasa_power
2017-09-16,1.54,nasa_power
2017-09-17,0.82,nasa_power
2017-09-18,2.85,nasa_power
2017-09-19,4.04,nasa_power
2017-09-20,3.07,nasa_power
2017-09-21,4.03,nasa_power
2017-09-22,5.13,nasa_power
2017-09-23,6.05,nasa_power
2017-09-24,16.46,nasa_power
2017-09-25,2.44,nasa_power
2017-09-26,5.79,nasa_power
2017-09-27,6.48,nasa_power
2017-09-28,8.21,nasa_power
2017-09-29,11.03,nasa_power
2017-09-30,7.67,nasa_power
2017-10-01,2.99,nasa_power
2017-10-02,0.95,nasa_power
2017-10-03,3.52,nasa_power
2017-10-04,5.92,nasa_power
2017-10-05,2.14,nasa_power
2017-10-06,10.94,nasa_power
2017-10-07,18.16,nasa_power
2017-10-08,18.47,nasa_power
2017-10-09,3.67,nasa_power
2017-10-10,2.3,nasa_power
2017-10-11,4.87,nasa_power
2017-10-12,4.06,nasa_power
2017-10-13,4.12,nasa_power
2017-10-14,7.44,nasa_power
2017-10-15,8.52,nasa_power
2017-10-16,2.8,nasa_power
2017-10-17,3.02,nasa_power
2017-10-18,2.58,nasa_power
2017-10-19,2.73,nasa_power
2017-10-20,2.85,nasa_power
2017-10-21,2.97,nasa_power
2017-10-22,2.81,nasa_power
2017-10-23,3.2,nasa_power
2017-10-24,3.9,nasa_power
2017-10-25,4.59,nasa_power
2017-10-26,2.87,nasa_power
2017-10-27,4.49,nasa_power
2017-10-28,4.17,nasa_power
2017-10-29,3.58,nasa_power
2017-10-30,1.45,nasa_power
2017-10-31,1.58,nasa_power
2017-11-01,1.93,nasa_power
2017-11-02,2.05,nasa_power
2017-11-03,1.85,nasa_power
2017-11-04,4.84,nasa_power
2017-11-05,7.51,nasa_power
2017-11-06,9.1,nasa_power
2017-11-07,1.0,nasa_power
2017-11-08,1.49,nasa_power
2017-11-09,0.95,nasa_power
2017-11-10,0.73,nasa_power
2017-11-11,0.93,nasa_power
2017-11-12,2.46,nasa_power
2017-11-13,1.48,nasa_power
2017-11-14,5.75,nasa_power
2017-11-15,9.65,nasa_power
2017-11-16,6.99,nasa_power
