date,ndti,ndti_std,red,green,cloud_cover,scene_id,water_pixel_count
2019-01-02,0.048939,0.039952,0.1969,0.1783,21.898,S2B_30NXM_20190102_0_L2A,650
2019-01-07,0.037814,0.03946,0.1491,0.1395,42.395,S2A_30NXM_20190107_0_L2A,4
2019-01-17,0.057028,0.027804,0.1416,0.1238,23.241,S2A_30NXM_20190117_0_L2A,506
2019-01-22,0.109208,0.046473,0.2175,0.175,10.95,S2B_30NXM_20190122_0_L2A,748
2019-01-27,0.071881,0.031312,0.1249,0.1099,45.116,S2A_30NXM_20190127_0_L2A,370
2019-02-01,-0.002062,0.027219,0.1462,0.1467,42.377,S2B_30NXM_20190201_0_L2A,306
2019-02-11,0.028623,0.045915,0.192,0.1792,15.951,S2B_30NXM_20190211_0_L2A,50
2019-02-16,0.019877,0.017611,0.1497,0.1432,21.628,S2A_30NXM_20190216_0_L2A,126
2019-02-21,0.090434,0.034914,0.213,0.1758,12.045,S2B_30NXM_20190221_0_L2A,748
2019-02-26,0.068264,0.032797,0.2187,0.1902,1.865,S2A_30NXM_20190226_0_L2A,536
2019-03-03,0.050146,0.021826,0.1571,0.1403,49.461,S2B_30NXM_20190303_0_L2A,56
2019-03-08,0.030225,0.02691,0.1246,0.1169,29.403,S2A_30NXM_20190308_0_L2A,438
2019-03-13,0.014787,0.041139,0.1465,0.1349,19.728,S2B_30NXM_20190313_0_L2A,286
2019-03-18,0.109989,0.037363,0.2655,0.2114,35.554,S2A_30NXM_20190318_0_L2A,748
2019-03-28,0.102402,0.01634,0.2884,0.2352,53.558,S2A_30NXM_20190328_1_L2A,312
2019-04-02,0.081251,0.037931,0.2513,0.219,12.862,S2B_30NXM_20190402_1_L2A,748
2019-04-07,0.000672,0.013571,0.1828,0.1823,78.865,S2A_30NXM_20190407_1_L2A,4
2019-04-12,-0.020346,0.010048,0.2938,0.3112,66.843,S2B_30NXM_20190412_1_L2A,308
2019-04-17,0.075428,0.004596,0.2378,0.2044,86.067,S2A_30NXM_20190417_1_L2A,4
2019-04-22,0.007727,0.020714,0.1841,0.1783,21.006,S2B_30NXM_20190422_0_L2A,16
2019-04-27,0.093841,0.017542,0.2978,0.2454,43.677,S2A_30NXM_20190427_1_L2A,548
2019-05-02,0.10454,0.046514,0.266,0.2153,32.325,S2B_30NXM_20190502_0_L2A,676
2019-05-07,0.017442,0.047167,0.1496,0.1362,56.192,S2A_30NXM_20190507_0_L2A,72
2019-05-12,0.072421,0.033271,0.2689,0.2402,63.819,S2B_30NXM_20190512_1_L2A,626
2019-05-17,0.123018,0.031031,0.32,0.2489,56.971,S2A_30NXM_20190517_1_L2A,744
2019-06-21,-0.015927,0.026257,0.247,0.2542,75.937,S2B_30NXM_20190621_0_L2A,158
2019-08-30,0.030642,0.039874,0.2354,0.2218,82.245,S2B_30NXM_20190830_0_L2A,604
2019-10-09,-0.035098,0.017929,0.2397,0.256,82.914,S2B_30NXM_20191009_0_L2A,222
2019-10-24,0.100262,0.047444,0.2082,0.1836,45.568,S2A_30NXM_20191024_0_L2A,324
2019-11-03,-0.055349,0.049967,0.1444,0.158,81.504,S2A_30NXM_20191103_0_L2A,60
2019-11-08,0.042328,0.059733,0.1466,0.1411,44.138,S2B_30NXM_20191108_0_L2A,670
2019-11-13,0.069477,0.037812,0.131,0.1137,27.777,S2A_30NXM_20191113_0_L2A,286
2019-11-18,0.105679,0.063914,0.1547,0.1277,29.334,S2B_30NXM_20191118_0_L2A,222
2019-11-23,-0.009591,0.036992,0.1321,0.1339,26.743,S2A_30NXM_20191123_0_L2A,56
2019-11-28,0.119361,0.035409,0.2645,0.2079,40.466,S2B_30NXM_20191128_1_L2A,634
2019-12-03,-0.043816,0.054604,0.1141,0.1273,26.82,S2A_30NXM_20191203_0_L2A,120
2019-12-08,0.116164,0.032068,0.2487,0.1965,32.508,S2B_30NXM_20191208_1_L2A,748
2019-12-13,0.087754,0.047036,0.2627,0.2236,26.841,S2A_30NXM_20191213_0_L2A,416
2019-12-18,0.098161,0.045441,0.1978,0.1572,23.951,S2B_30NXM_20191218_0_L2A,702
2019-12-23,0.105954,0.044351,0.2646,0.2231,26.067,S2A_30NXM_20191223_1_L2A,708
2019-12-28,0.108657,0.03512,0.2388,0.1976,17.516,S2B_30NXM_20191228_1_L2A,748
2020-01-02,0.119276,0.026054,0.2348,0.1845,10.595,S2A_30NXM_20200102_1_L2A,596
2020-01-07,0.126429,0.01977,0.2039,0.1582,0.017,S2B_30NXM_20200107_1_L2A,748
2020-01-12,0.116737,0.0164,0.2308,0.1831,3.084,S2A_30NXM_20200112_1_L2A,748
2020-01-17,0.034815,0.029213,0.1506,0.1409,22.284,S2B_30NXM_20200117_0_L2A,382
2020-01-22,0.129802,0.022395,0.2109,0.1619,17.126,S2A_30NXM_20200122_1_L2A,598
2020-01-27,0.222499,0.028628,0.2012,0.1277,0.911,S2B_30NXM_20200127_1_L2A,748
2020-02-01,-0.004655,0.021765,0.1319,0.1329,31.203,S2A_30NXM_20200201_0_L2A,244
2020-02-06,0.085422,0.033282,0.1616,0.1384,32.41,S2B_30NXM_20200206_1_L2A,632
2020-02-11,0.01207,0.014324,0.2175,0.2116,71.283,S2A_30NXM_20200211_1_L2A,230
2020-02-16,0.053255,0.029828,0.2076,0.1855,36.527,S2B_30NXM_20200216_1_L2A,76
2020-02-21,0.052433,0.018375,0.2144,0.1947,53.336,S2A_30NXM_20200221_1_L2A,140
2020-03-02,0.049554,0.028255,0.2326,0.2051,40.453,S2A_30NXM_20200302_0_L2A,692
2020-03-07,0.004929,0.030294,0.1454,0.1419,75.328,S2B_30NXM_20200307_0_L2A,42
2020-03-12,0.015765,0.043268,0.2677,0.2568,44.609,S2A_30NXM_20200312_0_L2A,218
2020-05-01,0.044431,0.013414,0.2017,0.1813,64.144,S2A_30NXM_20200501_0_L2A,4
2020-05-06,0.077505,0.048276,0.2857,0.2446,55.2,S2B_30NXM_20200506_0_L2A,532
2020-05-16,0.116697,0.038166,0.3208,0.2572,59.981,S2B_30NXM_20200516_1_L2A,748
2020-05-21,0.020865,0.021521,0.1581,0.1524,59.545,S2A_30NXM_20200521_0_L2A,32
2020-05-26,0.114722,0.044954,0.2769,0.2175,17.89,S2B_30NXM_20200526_0_L2A,692
2020-05-31,0.124321,0.027285,0.2296,0.177,33.096,S2A_30NXM_20200531_1_L2A,748
2020-06-10,0.044064,0.037363,0.149,0.1401,59.309,S2A_30NXM_20200610_0_L2A,234
2020-06-15,0.036065,0.042717,0.1307,0.1236,66.891,S2B_30NXM_20200615_0_L2A,416
2020-06-25,0.031385,0.040457,0.2126,0.1978,74.596,S2B_30NXM_20200625_1_L2A,100
2020-07-30,0.003853,0.002353,0.1584,0.1579,76.368,S2A_30NXM_20200730_1_L2A,4
2020-08-04,0.133044,0.033918,0.2682,0.2046,25.874,S2B_30NXM_20200804_1_L2A,748
2020-08-09,0.015301,0.027985,0.1695,0.1651,63.929,S2A_30NXM_20200809_1_L2A,14
2020-08-19,0.11782,0.028617,0.285,0.22,66.064,S2A_30NXM_20200819_1_L2A,748
2020-08-24,0.08731,0.01349,0.3704,0.3103,67.923,S2B_30NXM_20200824_1_L2A,16
2020-10-03,-0.013882,0.051838,0.1463,0.1479,96.4,S2B_30NXM_20201003_0_L2A,80
2020-10-08,0.018786,0.043181,0.1702,0.1668,72.28,S2A_30NXM_20201008_0_L2A,26
2020-10-18,0.004442,0.039453,0.1786,0.1754,58.998,S2A_30NXM_20201018_0_L2A,118
2020-10-23,0.020701,0.046873,0.2688,0.2625,63.601,S2B_30NXM_20201023_0_L2A,252
2020-10-28,0.070683,0.035531,0.2326,0.2074,53.5,S2A_30NXM_20201028_0_L2A,704
2020-11-02,0.095076,0.025833,0.2894,0.2392,68.227,S2B_30NXM_20201102_1_L2A,748
2020-11-12,0.039155,0.049727,0.1578,0.1517,36.665,S2B_30NXM_20201112_0_L2A,432
2020-11-17,0.078033,0.038217,0.2503,0.2164,39.189,S2A_30NXM_20201117_0_L2A,610
2020-12-07,0.10452,0.04777,0.2654,0.211,43.301,S2A_30NXM_20201207_0_L2A,382
2020-12-12,0.131766,0.038941,0.3016,0.2286,61.521,S2B_30NXM_20201212_1_L2A,712
2020-12-22,0.005259,0.045759,0.144,0.1458,39.675,S2B_30NXM_20201222_0_L2A,670
2020-12-27,0.025998,0.035719,0.1665,0.1526,21.463,S2A_30NXM_20201227_0_L2A,62
2021-01-01,0.037649,0.022704,0.1232,0.1136,45.889,S2B_30NXM_20210101_0_L2A,574
2021-01-11,-0.028794,0.039876,0.1585,0.1668,38.528,S2B_30NXM_20210111_0_L2A,28
2021-01-16,0.133252,0.033401,0.27,0.2107,39.606,S2A_30NXM_20210116_1_L2A,488
2021-01-21,0.097821,0.027677,0.2232,0.1815,30.879,S2B_30NXM_20210121_1_L2A,576
2021-01-26,0.098152,0.01998,0.1873,0.1538,0.493,S2A_30NXM_20210126_1_L2A,748
2021-01-31,0.104562,0.027004,0.2414,0.1937,44.729,S2B_30NXM_20210131_1_L2A,98
2021-02-05,0.02689,0.020498,0.2982,0.2754,58.888,S2A_30NXM_20210205_0_L2A,106
2021-02-10,0.101624,0.046496,0.2572,0.2038,31.521,S2B_30NXM_20210210_0_L2A,680
2021-02-15,0.019471,0.039428,0.1366,0.1322,49.851,S2A_30NXM_20210215_0_L2A,672
2021-02-25,0.018428,0.017546,0.1675,0.1582,35.713,S2A_30NXM_20210225_0_L2A,276
2021-03-02,0.066404,0.031883,0.2352,0.203,57.852,S2B_30NXM_20210302_0_L2A,748
2021-03-07,0.014371,0.030434,0.1443,0.1343,88.351,S2A_30NXM_20210307_0_L2A,136
2021-04-06,0.081433,0.029985,0.2584,0.2178,41.411,S2A_30NXM_20210406_0_L2A,716
2021-04-11,0.153095,0.044948,0.2764,0.2018,22.014,S2B_30NXM_20210411_1_L2A,748
2021-04-16,0.102609,0.054623,0.2657,0.2248,49.738,S2A_30NXM_20210416_0_L2A,458
2021-04-26,0.031204,0.026752,0.1467,0.1366,31.126,S2A_30NXM_20210426_0_L2A,68
2021-05-01,0.109794,0.05567,0.2626,0.2239,18.079,S2B_30NXM_20210501_0_L2A,256
2021-05-21,-0.028055,0.041041,0.2969,0.2965,72.472,S2B_30NXM_20210521_0_L2A,326
2021-06-05,0.054491,0.041131,0.1512,0.1367,55.227,S2A_30NXM_20210605_0_L2A,670
2021-06-30,0.086378,0.04121,0.3034,0.2682,61.657,S2B_30NXM_20210630_0_L2A,606
2021-07-05,0.027192,0.040549,0.1125,0.1063,56.18,S2A_30NXM_20210705_0_L2A,378
2021-07-10,-0.009676,0.030262,0.2973,0.2987,38.042,S2B_30NXM_20210710_0_L2A,402
2021-07-20,-0.023079,0.050149,0.3057,0.2923,88.298,S2B_30NXM_20210720_0_L2A,170
2021-07-30,0.150483,0.02782,0.2775,0.2041,47.812,S2B_30NXM_20210730_1_L2A,730
2021-08-19,-0.00633,0.019849,0.2554,0.2561,78.339,S2B_30NXM_20210819_0_L2A,58
2021-09-13,0.080452,0.039945,0.2912,0.2465,58.541,S2A_30NXM_20210913_0_L2A,546
2021-09-18,0.038105,0.049355,0.2216,0.2073,48.018,S2B_30NXM_20210918_0_L2A,336
2021-09-23,0.09518,0.025753,0.2553,0.2155,57.356,S2A_30NXM_20210923_1_L2A,88
2021-09-28,0.114868,0.052659,0.2623,0.1997,69.347,S2B_30NXM_20210928_0_L2A,164
2021-10-03,0.062868,0.043501,0.2488,0.234,58.176,S2A_30NXM_20211003_0_L2A,294
2021-10-08,0.027274,0.044734,0.1346,0.1286,72.3,S2B_30NXM_20211008_0_L2A,310
2021-10-13,0.012407,0.029079,0.1369,0.1328,14.038,S2A_30NXM_20211013_0_L2A,176
2021-10-18,0.082971,0.037342,0.2549,0.2179,52.75,S2B_30NXM_20211018_1_L2A,102
2021-10-23,0.06322,0.033296,0.15,0.1328,73.051,S2A_30NXM_20211023_0_L2A,102
2021-10-28,0.089202,0.067093,0.318,0.2752,49.588,S2B_30NXM_20211028_0_L2A,490
2021-11-07,0.115434,0.042476,0.2427,0.2001,25.007,S2B_30NXM_20211107_0_L2A,682
2021-11-12,0.111453,0.050156,0.2356,0.203,33.772,S2A_30NXM_20211112_0_L2A,724
2021-11-27,0.049795,0.059095,0.1515,0.1369,47.722,S2B_30NXM_20211127_0_L2A,338
2021-12-02,0.031672,0.039315,0.1194,0.1136,30.2,S2A_30NXM_20211202_0_L2A,262
2021-12-12,0.086135,0.027103,0.2225,0.1868,50.451,S2A_30NXM_20211212_1_L2A,504
2021-12-22,0.141398,0.031257,0.251,0.188,2.967,S2A_30NXM_20211222_1_L2A,748
2021-12-27,0.117262,0.03372,0.2546,0.1986,46.857,S2B_30NXM_20211227_1_L2A,574
2022-01-06,0.047631,0.035813,0.2496,0.2319,22.368,S2B_30NXM_20220106_0_L2A,364
2022-01-21,0.140631,0.037212,0.25,0.1838,1.758,S2A_30NXM_20220121_0_L2A,748
2022-01-26,0.185503,0.04958,0.239,0.1571,0.001,S2B_30NXM_20220126_0_L2A,748
2022-02-10,0.076171,0.019103,0.2468,0.2107,29.208,S2A_30NXM_20220210_0_L2A,548
2022-02-25,-0.024107,0.006617,0.1561,0.1635,56.694,S2B_30NXM_20220225_0_L2A,4
2022-03-02,0.117208,0.037647,0.2554,0.1898,23.286,S2A_30NXM_20220302_0_L2A,748
2022-03-07,0.119038,0.033069,0.2828,0.2197,22.008,S2B_30NXM_20220307_0_L2A,654
2022-05-01,0.083957,0.030169,0.3342,0.2811,50.6,S2A_30NXM_20220501_0_L2A,68
2022-05-31,0.095786,0.021573,0.3342,0.275,72.067,S2A_30NXM_20220531_0_L2A,142
2022-06-05,0.111623,0.023955,0.3074,0.2369,59.95,S2B_30NXM_20220605_0_L2A,244
2022-07-10,0.036587,0.039089,0.1886,0.1648,45.824,S2A_30NXM_20220710_0_L2A,8
2022-07-25,0.056789,0.030317,0.3304,0.2898,81.51,S2B_30NXM_20220725_0_L2A,568
2022-10-08,0.099754,0.023892,0.241,0.198,72.875,S2A_30NXM_20221008_0_L2A,166
2022-10-28,0.103484,0.033771,0.2634,0.2417,52.316,S2A_30NXM_20221028_0_L2A,476
2022-11-02,0.098706,0.031811,0.2776,0.2302,54.501,S2B_30NXM_20221102_0_L2A,130
2022-11-17,0.116774,0.030682,0.2891,0.2261,40.431,S2A_30NXM_20221117_0_L2A,436
2022-12-17,0.015538,0.017623,0.1503,0.1461,51.599,S2A_30NXM_20221217_0_L2A,68
2022-12-22,0.114268,0.039736,0.253,0.2024,39.2,S2B_30NXM_20221222_0_L2A,210
2022-12-27,0.132273,0.022769,0.2427,0.1858,1.914,S2A_30NXM_20221227_0_L2A,748
2023-01-01,0.112381,0.022609,0.2465,0.1965,0.098,S2B_30NXM_20230101_0_L2A,748
2023-01-11,0.074703,0.033918,0.2276,0.1848,36.464,S2B_30NXM_20230111_0_L2A,166
2023-01-16,0.103157,0.023832,0.2161,0.1748,25.062,S2A_30NXM_20230116_0_L2A,608
2023-01-21,0.126965,0.023244,0.2332,0.1802,62.691,S2B_30NXM_20230121_0_L2A,724
2023-01-31,0.024902,0.0277,0.1418,0.1356,31.723,S2B_30NXM_20230131_0_L2A,96
2023-02-10,0.120993,0.029394,0.2465,0.192,3.807,S2B_30NXM_20230210_0_L2A,748
2023-02-15,0.137111,0.028043,0.2602,0.1942,54.81,S2A_30NXM_20230215_0_L2A,748
2023-02-25,0.081035,0.018683,0.2855,0.2419,69.41,S2A_30NXM_20230225_0_L2A,526
2023-03-02,0.095103,0.033496,0.3596,0.2916,61.857,S2B_30NXM_20230302_0_L2A,612
2023-03-27,0.003167,0.02406,0.223,0.2194,79.662,S2A_30NXM_20230327_0_L2A,286
2023-04-21,0.101733,0.02832,0.2752,0.2231,6.64,S2B_30NXM_20230421_0_L2A,650
2023-05-01,0.104488,0.030939,0.3766,0.3058,44.153,S2B_30NXM_20230501_0_L2A,564
2023-05-16,0.098564,0.003054,0.3672,0.3018,38.739,S2A_30NXM_20230516_0_L2A,10
2023-05-26,0.103834,0.020278,0.333,0.2723,47.695,S2A_30NXM_20230526_0_L2A,644
2023-05-31,0.091661,0.019055,0.3448,0.2863,59.313,S2B_30NXM_20230531_0_L2A,328
2023-06-05,0.092339,0.020354,0.3352,0.2748,63.689,S2A_30NXM_20230605_0_L2A,530
2023-10-08,0.111456,0.032316,0.3908,0.3122,65.296,S2B_30NXM_20231008_0_L2A,144
2023-10-23,-0.047489,0.014578,0.1401,0.1546,88.672,S2A_30NXM_20231023_0_L2A,24
2023-10-28,0.108009,0.007515,0.2594,0.2119,46.014,S2B_30NXM_20231028_0_L2A,10
2023-11-02,0.100553,0.039829,0.273,0.2228,49.99,S2A_30NXM_20231102_0_L2A,36
2023-11-07,0.077338,0.039244,0.2265,0.1931,50.64,S2B_30NXM_20231107_0_L2A,102
2023-11-12,0.124368,0.029305,0.2667,0.2097,48.146,S2A_30NXM_20231112_0_L2A,600
2023-11-27,-0.006923,0.020785,0.188,0.1905,53.29,S2B_30NXM_20231127_0_L2A,188
2023-12-12,0.133221,0.004912,0.2696,0.2067,45.629,S2A_30NXM_20231212_0_L2A,36
2023-12-22,0.126904,0.020499,0.2432,0.1885,39.566,S2A_30NXM_20231222_0_L2A,748
2024-01-01,0.087483,0.027665,0.2394,0.1998,38.195,S2A_30NXM_20240101_0_L2A,168
2024-01-11,0.039698,0.007413,0.1768,0.1621,56.562,S2A_30NXM_20240111_0_L2A,18
2024-01-16,0.081869,0.049507,0.2225,0.1827,64.017,S2B_30NXM_20240116_0_L2A,66
