date,ndti,ndti_std,red,green,cloud_cover,scene_id,water_pixel_count
2018-10-19,0.11767,0.038754,0.2714,0.213,28.861,S2A_30NXL_20181019_1_L2A,650
2018-11-03,0.111755,0.062444,0.2658,0.2114,26.263,S2B_30NXL_20181103_0_L2A,675
2018-11-18,0.120385,0.050322,0.277,0.2164,34.131,S2A_30NXL_20181118_0_L2A,707
2018-11-23,0.10996,0.060491,0.2542,0.2024,15.289,S2B_30NXL_20181123_0_L2A,828
2018-11-28,-0.033147,0.028403,0.1508,0.1598,31.081,S2A_30NXL_20181128_0_L2A,246
2018-12-03,0.098924,0.060986,0.2106,0.1752,53.329,S2B_30NXL_20181203_0_L2A,459
2018-12-08,-0.011488,0.034122,0.1248,0.1337,42.294,S2A_30NXL_20181208_0_L2A,34
2018-12-13,0.04624,0.044954,0.2474,0.2264,47.433,S2B_30NXL_20181213_0_L2A,795
2018-12-18,0.038972,0.038769,0.1204,0.111,59.577,S2A_30NXL_20181218_0_L2A,770
2018-12-23,0.073301,0.039149,0.2138,0.183,17.421,S2B_30NXL_20181223_0_L2A,742
2018-12-28,-0.011892,0.015365,0.1468,0.1505,0.899,S2A_30NXL_20181228_0_L2A,82
2019-01-02,0.069356,0.032403,0.2283,0.1982,13.712,S2B_30NXL_20190102_0_L2A,828
2019-01-17,0.087094,0.037461,0.1674,0.1391,68.665,S2A_30NXL_20190117_0_L2A,140
2019-01-22,0.005978,0.061177,0.1196,0.1179,54.717,S2B_30NXL_20190122_0_L2A,120
2019-02-11,-0.017385,0.041977,0.1238,0.1274,24.13,S2B_30NXL_20190211_0_L2A,113
2019-02-16,-0.026582,0.018481,0.1542,0.1626,23.371,S2A_30NXL_20190216_0_L2A,35
2019-02-26,0.076164,0.029994,0.3038,0.2622,8.851,S2A_30NXL_20190226_0_L2A,825
2019-03-08,-0.003831,0.05663,0.1356,0.1398,38.327,S2A_30NXL_20190308_0_L2A,85
2019-03-13,0.007531,0.051552,0.137,0.1348,26.539,S2B_30NXL_20190313_0_L2A,110
2019-03-28,0.041096,0.032087,0.1346,0.1242,45.833,S2A_30NXL_20190328_0_L2A,220
2019-04-02,0.096595,0.041656,0.3144,0.2568,24.795,S2B_30NXL_20190402_1_L2A,363
2019-04-22,0.054376,0.028128,0.2868,0.2561,24.391,S2B_30NXL_20190422_1_L2A,572
2019-05-02,0.099734,0.057381,0.3195,0.2626,62.479,S2B_30NXL_20190502_0_L2A,822
2019-05-17,0.048788,0.03043,0.1579,0.1404,21.514,S2A_30NXL_20190517_0_L2A,48
2019-06-06,0.035074,0.046403,0.145,0.1352,64.719,S2A_30NXL_20190606_0_L2A,119
2019-06-11,-0.047573,0.030208,0.1722,0.191,38.907,S2B_30NXL_20190611_0_L2A,4
2019-06-21,-0.034779,0.036208,0.504,0.5444,49.755,S2B_30NXL_20190621_0_L2A,381
2019-07-01,-0.012941,0.03066,0.1674,0.1722,43.407,S2B_30NXL_20190701_0_L2A,81
2019-07-21,0.080402,0.05688,0.2894,0.2514,36.68,S2B_30NXL_20190721_0_L2A,816
2019-08-10,0.017237,0.049898,0.1556,0.1433,57.384,S2B_30NXL_20190810_0_L2A,240
2019-10-29,0.120831,0.069103,0.2449,0.1913,42.51,S2B_30NXL_20191029_0_L2A,828
2019-11-18,0.060016,0.06139,0.145,0.1322,13.388,S2B_30NXL_20191118_0_L2A,803
2019-11-23,0.053465,0.048959,0.2826,0.2504,23.695,S2A_30NXL_20191123_0_L2A,198
2019-11-28,0.105884,0.056258,0.3066,0.248,25.91,S2B_30NXL_20191128_0_L2A,486
2019-12-03,0.107597,0.057944,0.2744,0.2236,22.167,S2A_30NXL_20191203_0_L2A,557
2019-12-08,0.105273,0.047217,0.2622,0.2162,34.935,S2B_30NXL_20191208_0_L2A,808
2019-12-13,0.105832,0.033275,0.2972,0.2386,15.373,S2A_30NXL_20191213_0_L2A,719
2019-12-18,0.049528,0.032919,0.12,0.1072,25.177,S2B_30NXL_20191218_0_L2A,560
2019-12-23,-0.024141,0.02844,0.1034,0.1074,14.994,S2A_30NXL_20191223_0_L2A,234
2019-12-28,0.126012,0.0364,0.2396,0.1858,4.451,S2B_30NXL_20191228_1_L2A,828
2020-01-02,0.066079,0.038979,0.1305,0.1146,36.641,S2A_30NXL_20200102_1_L2A,828
2020-01-07,0.037688,0.016713,0.1638,0.1512,0.326,S2B_30NXL_20200107_0_L2A,828
2020-01-12,0.103095,0.020141,0.2438,0.1983,5.465,S2A_30NXL_20200112_1_L2A,828
2020-01-17,0.092895,0.031457,0.2227,0.1834,12.158,S2B_30NXL_20200117_0_L2A,796
2020-01-22,0.086863,0.015105,0.2856,0.2414,58.815,S2A_30NXL_20200122_1_L2A,309
2020-01-27,0.197137,0.031522,0.2082,0.1381,7.911,S2B_30NXL_20200127_1_L2A,828
2020-02-01,0.091563,0.032585,0.2512,0.2088,22.851,S2A_30NXL_20200201_0_L2A,827
2020-02-06,-0.01791,0.022899,0.1478,0.1491,13.937,S2B_30NXL_20200206_0_L2A,22
2020-02-16,0.042137,0.017704,0.2184,0.2013,22.854,S2B_30NXL_20200216_1_L2A,828
2020-02-21,0.038962,0.017764,0.2394,0.2217,53.293,S2A_30NXL_20200221_1_L2A,828
2020-02-26,0.027074,0.030284,0.2712,0.2579,51.905,S2B_30NXL_20200226_1_L2A,170
2020-03-12,0.023333,0.037526,0.1484,0.1407,26.004,S2A_30NXL_20200312_0_L2A,420
2020-03-22,0.000363,0.027459,0.1404,0.1376,21.559,S2A_30NXL_20200322_0_L2A,90
2020-03-27,0.1018,0.037834,0.348,0.2829,59.318,S2B_30NXL_20200327_1_L2A,786
2020-04-11,0.167784,0.041264,0.4123,0.269,34.894,S2A_30NXL_20200411_0_L2A,4
2020-04-21,0.111293,0.027343,0.2764,0.2197,11.798,S2A_30NXL_20200421_0_L2A,828
2020-05-21,0.008864,0.036761,0.163,0.1676,53.844,S2A_30NXL_20200521_0_L2A,35
2020-05-26,0.118062,0.060194,0.2954,0.2308,16.032,S2B_30NXL_20200526_0_L2A,828
2020-05-31,0.130115,0.029534,0.2707,0.2072,37.262,S2A_30NXL_20200531_1_L2A,828
2020-06-05,-0.005267,0.069505,0.1356,0.139,34.414,S2B_30NXL_20200605_0_L2A,107
2020-06-15,0.035961,0.055529,0.1654,0.1548,38.611,S2B_30NXL_20200615_0_L2A,219
2020-07-15,0.108832,0.039887,0.1932,0.1544,53.654,S2B_30NXL_20200715_0_L2A,759
2020-07-25,0.037159,0.033875,0.1664,0.1566,14.168,S2B_30NXL_20200725_0_L2A,203
2020-08-04,0.138614,0.046689,0.286,0.2152,22.958,S2B_30NXL_20200804_1_L2A,828
2020-08-09,0.135267,0.036193,0.3272,0.2482,24.522,S2A_30NXL_20200809_1_L2A,601
2020-08-24,0.025985,0.0441,0.2584,0.2388,40.728,S2B_30NXL_20200824_0_L2A,828
2020-08-29,0.036424,0.05416,0.1856,0.181,85.334,S2A_30NXL_20200829_0_L2A,32
2020-10-08,0.006887,0.040495,0.1469,0.1446,79.776,S2A_30NXL_20201008_0_L2A,56
2020-10-13,-0.018655,0.025743,0.2424,0.2513,58.487,S2B_30NXL_20201013_0_L2A,314
2020-10-18,0.09286,0.059276,0.3303,0.2758,44.839,S2A_30NXL_20201018_0_L2A,120
2020-10-23,0.024963,0.054972,0.152,0.1409,33.053,S2B_30NXL_20201023_0_L2A,178
2020-10-28,-0.025178,0.006718,0.3562,0.3746,57.019,S2A_30NXL_20201028_0_L2A,3
2020-11-02,0.059987,0.048404,0.2619,0.2322,53.939,S2B_30NXL_20201102_0_L2A,664
2020-11-07,0.091259,0.0478,0.282,0.2398,35.073,S2A_30NXL_20201107_0_L2A,785
2020-11-12,0.107271,0.060011,0.373,0.301,23.193,S2B_30NXL_20201112_0_L2A,234
2020-11-17,0.011962,0.038673,0.1798,0.176,35.081,S2A_30NXL_20201117_0_L2A,615
2020-12-02,0.121981,0.057969,0.3174,0.2464,27.427,S2B_30NXL_20201202_0_L2A,533
2020-12-07,0.110526,0.04185,0.3278,0.2622,20.764,S2A_30NXL_20201207_0_L2A,824
2020-12-12,-0.001045,0.030398,0.0973,0.0977,19.335,S2B_30NXL_20201212_0_L2A,409
2020-12-17,-0.07138,0.022108,0.1466,0.1666,32.496,S2A_30NXL_20201217_0_L2A,23
2020-12-27,0.140632,0.053446,0.2266,0.1692,16.174,S2A_30NXL_20201227_0_L2A,827
2021-01-11,0.059147,0.081235,0.156,0.143,20.453,S2B_30NXL_20210111_0_L2A,221
2021-01-21,0.022122,0.02656,0.231,0.2202,24.34,S2B_30NXL_20210121_0_L2A,40
2021-01-26,0.135981,0.018752,0.2426,0.1835,4.276,S2A_30NXL_20210126_1_L2A,828
2021-01-31,-0.032616,0.016144,0.1412,0.1538,19.979,S2B_30NXL_20210131_0_L2A,23
2021-02-20,0.034422,0.035742,0.1332,0.1226,17.773,S2B_30NXL_20210220_0_L2A,589
2021-02-25,0.071534,0.026762,0.2566,0.2222,25.971,S2A_30NXL_20210225_0_L2A,764
2021-03-12,-0.020226,0.053167,0.148,0.1586,55.373,S2B_30NXL_20210312_0_L2A,46
2021-04-06,-0.017664,0.02775,0.1523,0.1554,27.649,S2A_30NXL_20210406_0_L2A,36
2021-04-11,0.009252,0.032065,0.0932,0.0906,10.844,S2B_30NXL_20210411_0_L2A,342
2021-04-16,0.086551,0.076359,0.2817,0.2157,33.798,S2A_30NXL_20210416_0_L2A,22
2021-04-26,0.137693,0.03137,0.3464,0.2626,15.969,S2A_30NXL_20210426_0_L2A,828
2021-05-01,0.103901,0.04718,0.3616,0.2942,71.858,S2B_30NXL_20210501_1_L2A,736
2021-05-11,-0.001081,0.06252,0.1669,0.1698,16.089,S2B_30NXL_20210511_0_L2A,138
2021-05-21,-0.045648,0.050719,0.1724,0.1844,43.731,S2B_30NXL_20210521_0_L2A,37
2021-05-26,0.088638,0.032735,0.3572,0.2984,32.972,S2A_30NXL_20210526_1_L2A,787
2021-06-10,0.10961,0.049915,0.412,0.3308,81.937,S2B_30NXL_20210610_3_L2A,693
2021-07-05,0.108454,0.051489,0.2618,0.2094,40.106,S2A_30NXL_20210705_1_L2A,278
2021-07-25,0.08883,0.05609,0.1937,0.1628,22.482,S2A_30NXL_20210725_0_L2A,826
2021-08-09,-0.023852,0.01559,0.562,0.5868,39.098,S2B_30NXL_20210809_0_L2A,67
2021-08-14,0.011707,0.029071,0.1614,0.1548,24.376,S2A_30NXL_20210814_0_L2A,785
2021-08-19,0.010588,0.035209,0.1946,0.1854,48.552,S2B_30NXL_20210819_0_L2A,349
2021-09-18,0.120886,0.043766,0.3244,0.2534,64.364,S2B_30NXL_20210918_0_L2A,828
2021-10-03,0.103143,0.041507,0.3964,0.322,57.898,S2A_30NXL_20211003_1_L2A,211
2021-10-28,0.085594,0.060559,0.3375,0.2874,42.656,S2B_30NXL_20211028_0_L2A,828
2021-11-07,0.041762,0.052284,0.1295,0.1181,68.868,S2B_30NXL_20211107_0_L2A,240
2021-11-27,0.118844,0.044089,0.3364,0.264,50.002,S2B_30NXL_20211127_1_L2A,828
2021-12-02,0.020077,0.033661,0.1032,0.0998,25.313,S2A_30NXL_20211202_0_L2A,786
2021-12-07,0.117591,0.055296,0.2791,0.2268,27.629,S2B_30NXL_20211207_0_L2A,828
2021-12-12,0.097489,0.026924,0.2438,0.2003,33.924,S2A_30NXL_20211212_1_L2A,828
2021-12-17,0.104631,0.048111,0.3042,0.2436,77.173,S2B_30NXL_20211217_1_L2A,139
2021-12-22,0.135201,0.025707,0.278,0.2114,14.592,S2A_30NXL_20211222_0_L2A,828
2021-12-27,0.043207,0.036738,0.1422,0.1291,46.802,S2B_30NXL_20211227_0_L2A,514
2022-01-06,0.066194,0.043162,0.1664,0.1476,12.48,S2B_30NXL_20220106_0_L2A,828
2022-01-21,0.128801,0.026346,0.2416,0.1866,4.467,S2A_30NXL_20220121_0_L2A,828
2022-01-26,0.159065,0.038003,0.2347,0.1704,0.819,S2B_30NXL_20220126_0_L2A,828
2022-01-31,0.092561,0.035139,0.2701,0.228,22.698,S2A_30NXL_20220131_0_L2A,800
2022-02-05,0.055091,0.042267,0.2221,0.1961,31.506,S2B_30NXL_20220205_0_L2A,174
2022-02-10,0.026275,0.073627,0.074,0.0692,23.776,S2A_30NXL_20220210_0_L2A,17
2022-02-25,0.058824,0.026332,0.1918,0.171,44.602,S2B_30NXL_20220225_0_L2A,225
2022-03-02,0.104345,0.02904,0.2304,0.1876,77.38,S2A_30NXL_20220302_0_L2A,705
2022-03-07,0.110695,0.044236,0.2963,0.2368,39.942,S2B_30NXL_20220307_0_L2A,524
2022-03-27,-0.042654,0.013911,0.161,0.176,33.748,S2B_30NXL_20220327_0_L2A,3
2022-05-16,-0.046973,0.053604,0.1518,0.1712,84.027,S2B_30NXL_20220516_0_L2A,19
2022-07-10,0.021898,0.013828,0.1544,0.147,38.17,S2A_30NXL_20220710_0_L2A,33
2022-07-15,-0.048978,0.003926,1.2384,1.3716,96.011,S2B_30NXL_20220715_0_L2A,50
2022-08-04,-0.029271,0.048096,0.1576,0.1676,41.356,S2B_30NXL_20220804_0_L2A,33
2022-09-18,-0.031338,0.009652,1.086,1.1668,75.623,S2A_30NXL_20220918_0_L2A,20
2022-10-08,0.11072,0.025639,0.3564,0.284,32.537,S2A_30NXL_20221008_0_L2A,828
2022-10-13,0.032929,0.036355,0.1524,0.1394,45.076,S2B_30NXL_20221013_0_L2A,33
2022-10-23,0.008064,0.026382,0.1579,0.1471,73.995,S2B_30NXL_20221023_0_L2A,24
2022-10-28,0.147265,0.323474,0.2702,0.2008,29.526,S2A_30NXL_20221028_0_L2A,760
2022-11-02,0.059512,0.058296,0.3087,0.268,44.098,S2B_30NXL_20221102_0_L2A,24
2022-11-17,0.031022,0.013426,0.117,0.1098,36.253,S2A_30NXL_20221117_0_L2A,83
2022-11-22,0.121034,0.039988,0.3614,0.282,32.064,S2B_30NXL_20221122_0_L2A,828
2022-11-27,0.121985,0.037545,0.3082,0.2404,42.91,S2A_30NXL_20221127_0_L2A,828
2022-12-17,0.09415,0.0359,0.3888,0.322,62.676,S2A_30NXL_20221217_0_L2A,331
2022-12-27,0.110503,0.033144,0.2432,0.1982,0.404,S2A_30NXL_20221227_0_L2A,828
2023-01-01,0.10499,0.026979,0.2612,0.2114,0.143,S2B_30NXL_20230101_0_L2A,828
2023-01-06,0.106815,0.023094,0.2596,0.208,62.232,S2A_30NXL_20230106_0_L2A,730
2023-01-11,0.095396,0.033604,0.2546,0.2128,20.614,S2B_30NXL_20230111_0_L2A,828
2023-01-16,0.095877,0.028669,0.2268,0.1866,16.014,S2A_30NXL_20230116_0_L2A,828
2023-01-26,0.029292,0.036034,0.1485,0.1394,21.085,S2A_30NXL_20230126_0_L2A,156
2023-01-31,0.116422,0.042911,0.2692,0.2124,31.894,S2B_30NXL_20230131_0_L2A,816
2023-02-15,0.103825,0.033384,0.1168,0.0938,81.83,S2A_30NXL_20230215_0_L2A,24
2023-04-01,0.017112,0.060892,0.161,0.1582,29.453,S2B_30NXL_20230401_1_L2A,71
2023-04-06,0.079364,0.024732,0.3528,0.3,23.013,S2A_30NXL_20230406_0_L2A,798
2023-04-11,0.012505,0.022434,0.135,0.1306,19.559,S2B_30NXL_20230411_0_L2A,210
2023-04-16,0.07752,0.021372,0.3032,0.2596,59.382,S2A_30NXL_20230416_0_L2A,242
2023-04-21,0.103981,0.03969,0.2828,0.2286,6.069,S2B_30NXL_20230421_0_L2A,828
2023-05-01,-0.051228,0.043254,0.07125,0.0786,50.017,S2B_30NXL_20230501_0_L2A,4
2023-05-06,0.11018,0.031433,0.358,0.2862,32.469,S2A_30NXL_20230506_0_L2A,605
2023-05-16,0.111647,0.031015,0.28,0.2232,30.65,S2A_30NXL_20230516_0_L2A,828
2023-05-26,-0.042877,0.044948,0.1448,0.1606,42.622,S2A_30NXL_20230526_0_L2A,119
2023-06-30,0.107772,0.04035,0.245,0.1986,21.653,S2B_30NXL_20230630_0_L2A,257
2023-09-08,-0.07186,0.038137,0.1478,0.169,47.799,S2B_30NXL_20230908_0_L2A,21
2023-09-28,-0.045731,0.017605,0.1447,0.1563,46.531,S2B_30NXL_20230928_0_L2A,8
