date,ndti,ndti_std,red,green,cloud_cover,scene_id,water_pixel_count
2018-12-28,-0.024649,0.007261,0.1469,0.1543,0.899,S2A_30NXL_20181228_0_L2A,4
2019-01-02,0.029391,0.026182,0.1427,0.1343,13.712,S2B_30NXL_20190102_0_L2A,188
2019-01-17,0.066733,0.059626,0.1421,0.1244,68.665,S2A_30NXL_20190117_0_L2A,86
2019-01-22,0.052433,0.034434,0.1327,0.1196,54.717,S2B_30NXL_20190122_0_L2A,56
2019-01-27,0.036436,0.023221,0.1208,0.1112,68.66,S2A_30NXL_20190127_0_L2A,100
2019-02-11,0.02424,0.006844,0.3963,0.3819,24.13,S2B_30NXL_20190211_0_L2A,48
2019-02-16,0.036918,0.010899,0.2538,0.2339,23.371,S2A_30NXL_20190216_0_L2A,10
2019-02-26,0.033765,0.027122,0.1394,0.1296,8.851,S2A_30NXL_20190226_0_L2A,804
2019-03-08,0.012387,0.07187,0.1582,0.1524,38.327,S2A_30NXL_20190308_0_L2A,16
2019-03-18,-0.03772,0.053148,0.1425,0.1549,83.34,S2A_30NXL_20190318_0_L2A,34
2019-03-28,0.102817,0.022542,0.31,0.2523,57.068,S2A_30NXL_20190328_1_L2A,200
2019-04-02,0.005747,0.012107,0.2716,0.2684,21.885,S2B_30NXL_20190402_0_L2A,102
2019-04-22,-0.029942,0.016957,0.1934,0.1984,18.704,S2B_30NXL_20190422_0_L2A,12
2019-05-02,-0.014789,0.016014,0.3657,0.377,62.479,S2B_30NXL_20190502_0_L2A,64
2019-05-07,-0.015272,0.03909,0.1734,0.1783,25.446,S2A_30NXL_20190507_0_L2A,10
2019-05-12,0.087591,0.02261,0.2944,0.246,53.132,S2B_30NXL_20190512_1_L2A,888
2019-05-17,0.098532,0.058975,0.1616,0.1522,21.514,S2A_30NXL_20190517_0_L2A,888
2019-06-01,-0.004856,0.002509,0.7078,0.7144,97.895,S2B_30NXL_20190601_0_L2A,214
2019-06-21,-0.027208,0.030944,0.135,0.1452,49.755,S2B_30NXL_20190621_0_L2A,26
2019-07-01,0.1187,0.025815,0.2478,0.1946,50.157,S2B_30NXL_20190701_1_L2A,888
2019-07-06,-0.031529,0.006394,0.7104,0.7576,76.228,S2A_30NXL_20190706_0_L2A,90
2019-07-26,-0.003339,0.024889,0.2867,0.2815,66.569,S2A_30NXL_20190726_0_L2A,104
2019-07-31,-0.009549,0.019512,0.148,0.151,41.525,S2B_30NXL_20190731_0_L2A,274
2019-08-05,0.083578,0.024521,0.3042,0.2558,68.344,S2A_30NXL_20190805_1_L2A,388
2019-08-15,0.093909,0.010545,0.3309,0.278,28.374,S2A_30NXL_20190815_0_L2A,40
2019-08-30,0.101845,0.033741,0.2546,0.2074,56.579,S2B_30NXL_20190830_1_L2A,872
2019-09-04,-0.025042,0.007293,1.0716,1.1292,93.576,S2A_30NXL_20190904_0_L2A,46
2019-09-09,-0.012771,0.015618,0.1281,0.1314,84.971,S2B_30NXL_20190909_0_L2A,6
2019-09-24,-0.010861,0.010723,0.5055,0.5282,40.774,S2A_30NXL_20190924_0_L2A,48
2019-10-29,0.116825,0.052312,0.2546,0.2041,42.51,S2B_30NXL_20191029_0_L2A,888
2019-11-08,0.10799,0.041091,0.2494,0.1995,17.614,S2B_30NXL_20191108_0_L2A,448
2019-11-13,0.111849,0.048613,0.2461,0.1982,71.939,S2A_30NXL_20191113_1_L2A,574
